state,state_code,year,age_group,gender,race,deaths
Arizona,4,2007,35-44 years,Female,White,43
Arizona,4,2007,35-44 years,Male,White,63
Arizona,4,2007,45-54 years,Female,White,46
Arizona,4,2007,45-54 years,Male,White,88
Arizona,4,2007,55-64 years,Female,White,18
Arizona,4,2007,55-64 years,Male,White,23
Arizona,4,2008,15-24 years,Male,White,46
Arizona,4,2008,25-34 years,Female,White,27
Arizona,4,2008,25-34 years,Male,White,49
Arizona,4,2008,35-44 years,Female,White,39
Arizona,4,2008,35-44 years,Male,White,68
Arizona,4,2008,45-54 years,Female,White,60
Arizona,4,2008,45-54 years,Male,White,88
Arizona,4,2008,55-64 years,Female,White,29
Arizona,4,2008,55-64 years,Male,White,33
Arizona,4,2009,15-24 years,Female,White,13
Arizona,4,2009,15-24 years,Male,White,61
Arizona,4,2009,25-34 years,Female,White,31
Arizona,4,2009,25-34 years,Male,White,91
Arizona,4,2009,35-44 years,Female,White,45
Arizona,4,2009,35-44 years,Male,White,59
Arizona,4,2009,45-54 years,Female,White,86
Arizona,4,2009,45-54 years,Male,White,97
Arizona,4,2009,55-64 years,Female,White,36
Arizona,4,2009,55-64 years,Male,White,33
Arizona,4,2010,15-24 years,Female,White,17
Arizona,4,2010,15-24 years,Male,White,62
Arizona,4,2010,25-34 years,Female,White,41
Arizona,4,2010,25-34 years,Male,White,82
Arizona,4,2010,35-44 years,Female,White,42
Arizona,4,2010,35-44 years,Male,White,66
Arizona,4,2010,45-54 years,Female,White,76
Arizona,4,2010,45-54 years,Male,White,77
Arizona,4,2010,55-64 years,Female,White,48
Arizona,4,2010,55-64 years,Male,White,49
Arizona,4,2011,15-24 years,Female,White,14
Arizona,4,2011,15-24 years,Male,White,59
Arizona,4,2011,25-34 years,Female,White,34
Arizona,4,2011,25-34 years,Male,White,82
Arizona,4,2011,35-44 years,Female,White,40
Arizona,4,2011,35-44 years,Male,White,56
Arizona,4,2011,45-54 years,Female,White,57
Arizona,4,2011,45-54 years,Male,White,74
Arizona,4,2011,55-64 years,Female,White,51
Arizona,4,2011,55-64 years,Male,White,39
Arizona,4,2011,65-74 years,Female,White,11
Arizona,4,2012,15-24 years,Female,White,14
Arizona,4,2012,15-24 years,Male,White,38
Arizona,4,2012,25-34 years,Female,White,30
Arizona,4,2012,25-34 years,Male,White,69
Arizona,4,2012,35-44 years,Female,White,44
Arizona,4,2012,35-44 years,Male,White,53
Arizona,4,2012,45-54 years,Female,White,48
Arizona,4,2012,45-54 years,Male,White,76
Arizona,4,2012,55-64 years,Female,White,38
Arizona,4,2012,55-64 years,Male,White,47
Arizona,4,2013,15-24 years,Female,White,17
Arizona,4,2013,15-24 years,Male,White,48
Arizona,4,2013,25-34 years,Female,White,29
Arizona,4,2013,25-34 years,Male,White,74
Arizona,4,2013,35-44 years,Female,White,46
Arizona,4,2013,35-44 years,Male,White,48
Arizona,4,2013,45-54 years,Female,White,53
Arizona,4,2013,45-54 years,Male,White,72
Arizona,4,2013,55-64 years,Female,White,40
Arizona,4,2013,55-64 years,Male,White,39
Arizona,4,2013,65-74 years,Female,White,10
Arizona,4,2014,15-24 years,Female,White,14
Arizona,4,2014,15-24 years,Male,White,37
Arizona,4,2014,25-34 years,Female,White,37
Arizona,4,2014,25-34 years,Male,White,86
Arizona,4,2014,35-44 years,Female,White,26
Arizona,4,2014,35-44 years,Male,White,71
Arizona,4,2014,45-54 years,Female,White,44
Arizona,4,2014,45-54 years,Male,White,69
Arizona,4,2014,55-64 years,Female,White,53
Arizona,4,2014,55-64 years,Male,White,56
Arizona,4,2014,65-74 years,Female,White,15
Arizona,4,2014,65-74 years,Male,White,19
Arkansas,5,2002,25-34 years,Male,White,11
Arkansas,5,2002,35-44 years,Female,White,16
Arkansas,5,2002,35-44 years,Male,White,23
Arkansas,5,2003,15-24 years,Male,White,12
Arkansas,5,2003,25-34 years,Male,White,13
Arkansas,5,2003,35-44 years,Female,White,11
Arkansas,5,2003,35-44 years,Male,White,13
Arkansas,5,2003,45-54 years,Female,White,10
Arkansas,5,2003,45-54 years,Male,White,14
Arkansas,5,2004,15-24 years,Male,White,18
Arkansas,5,2004,25-34 years,Male,White,19
Arkansas,5,2004,35-44 years,Female,White,21
Arkansas,5,2004,35-44 years,Male,White,17
Arkansas,5,2004,45-54 years,Female,White,13
Arkansas,5,2004,45-54 years,Male,White,10
Arkansas,5,2005,15-24 years,Male,White,17
Arkansas,5,2005,25-34 years,Male,White,15
Arkansas,5,2005,35-44 years,Female,White,14
Arkansas,5,2005,35-44 years,Male,White,22
Arkansas,5,2005,45-54 years,Female,White,13
Arkansas,5,2005,45-54 years,Male,White,16
Arkansas,5,2006,15-24 years,Male,White,26
Arkansas,5,2006,25-34 years,Male,White,22
Arkansas,5,2006,35-44 years,Female,White,13
Arkansas,5,2006,35-44 years,Male,White,22
Arkansas,5,2006,45-54 years,Female,White,12
Arkansas,5,2006,45-54 years,Male,White,14
Arkansas,5,2007,15-24 years,Male,White,18
Arkansas,5,2007,25-34 years,Female,White,11
Arkansas,5,2007,25-34 years,Male,White,20
Arkansas,5,2007,35-44 years,Female,White,15
Arkansas,5,2007,35-44 years,Male,White,18
Arkansas,5,2007,45-54 years,Female,White,24
Arkansas,5,2007,45-54 years,Male,White,19
Arkansas,5,2008,15-24 years,Male,White,27
Arkansas,5,2008,25-34 years,Female,White,18
Arkansas,5,2008,25-34 years,Male,White,31
Arkansas,5,2008,35-44 years,Female,White,27
Arkansas,5,2008,35-44 years,Male,White,22
Arkansas,5,2008,45-54 years,Female,White,23
Arkansas,5,2008,45-54 years,Male,White,20
Arkansas,5,2009,15-24 years,Male,White,25
Arkansas,5,2009,25-34 years,Female,White,16
Arkansas,5,2009,25-34 years,Male,White,28
Arkansas,5,2009,35-44 years,Female,White,20
Arkansas,5,2009,35-44 years,Male,White,23
Arkansas,5,2009,45-54 years,Female,White,30
Arkansas,5,2009,45-54 years,Male,White,30
Arkansas,5,2010,15-24 years,Female,White,10
Arkansas,5,2010,15-24 years,Male,White,14
Arkansas,5,2010,25-34 years,Female,White,21
Arkansas,5,2010,25-34 years,Male,White,31
Arkansas,5,2010,35-44 years,Female,White,21
Arkansas,5,2010,35-44 years,Male,White,24
Arkansas,5,2010,45-54 years,Female,White,18
Arkansas,5,2010,45-54 years,Male,White,15
Arkansas,5,2010,55-64 years,Female,White,11
Arkansas,5,2010,55-64 years,Male,White,10
Arkansas,5,2011,15-24 years,Male,White,18
Arkansas,5,2011,25-34 years,Female,White,13
Arkansas,5,2011,25-34 years,Male,White,31
Arkansas,5,2011,35-44 years,Female,White,15
Arkansas,5,2011,35-44 years,Male,White,29
Arkansas,5,2011,45-54 years,Female,White,19
Arkansas,5,2011,45-54 years,Male,White,21
Arkansas,5,2012,15-24 years,Male,White,19
Arkansas,5,2012,25-34 years,Female,White,13
Arkansas,5,2012,25-34 years,Male,White,21
Arkansas,5,2012,35-44 years,Female,White,18
Arkansas,5,2012,35-44 years,Male,White,20
Arkansas,5,2012,45-54 years,Female,White,24
Arkansas,5,2012,45-54 years,Male,White,14
Arkansas,5,2012,55-64 years,Female,White,15
Arkansas,5,2013,15-24 years,Male,White,15
Arkansas,5,2013,25-34 years,Female,White,13
Arkansas,5,2013,25-34 years,Male,White,23
Arkansas,5,2013,35-44 years,Female,White,12
Arkansas,5,2013,35-44 years,Male,White,17
Arkansas,5,2013,45-54 years,Female,White,19
Arkansas,5,2013,45-54 years,Male,White,15
Arkansas,5,2013,55-64 years,Female,White,18
Arkansas,5,2014,15-24 years,Male,White,10
Arkansas,5,2014,25-34 years,Male,White,21
Arkansas,5,2014,35-44 years,Female,White,22
Arkansas,5,2014,35-44 years,Male,White,26
Arkansas,5,2014,45-54 years,Female,White,26
Arkansas,5,2014,45-54 years,Male,White,22
Arkansas,5,2014,55-64 years,Female,White,12
California,6,1999,15-24 years,Female,White,12
California,6,1999,15-24 years,Male,White,58
California,6,1999,25-34 years,Female,White,37
California,6,1999,25-34 years,Male,White,193
California,6,1999,35-44 years,Female,Black or African American,10
California,6,1999,35-44 years,Female,White,117
California,6,1999,35-44 years,Male,Black or African American,22
California,6,1999,35-44 years,Male,White,406
California,6,1999,45-54 years,Female,Black or African American,19
California,6,1999,45-54 years,Female,White,80
California,6,1999,45-54 years,Male,Black or African American,37
California,6,1999,45-54 years,Male,White,312
California,6,1999,55-64 years,Female,White,20
California,6,1999,55-64 years,Male,White,68
California,6,1999,65-74 years,Male,White,15
California,6,2000,15-24 years,Male,White,32
California,6,2000,25-34 years,Female,White,39
California,6,2000,25-34 years,Male,White,124
California,6,2000,35-44 years,Female,White,79
California,6,2000,35-44 years,Male,Black or African American,17
California,6,2000,35-44 years,Male,White,271
California,6,2000,45-54 years,Female,White,60
California,6,2000,45-54 years,Male,Black or African American,28
California,6,2000,45-54 years,Male,White,200
California,6,2000,55-64 years,Female,White,23
California,6,2000,55-64 years,Male,White,44
California,6,2000,65-74 years,Male,White,12
California,6,2001,15-24 years,Male,White,20
California,6,2001,25-34 years,Male,White,52
California,6,2001,35-44 years,Female,White,51
California,6,2001,35-44 years,Male,White,137
California,6,2001,45-54 years,Female,White,41
California,6,2001,45-54 years,Male,Black or African American,19
California,6,2001,45-54 years,Male,White,130
California,6,2001,55-64 years,Female,White,11
California,6,2001,55-64 years,Male,White,27
California,6,2002,15-24 years,Female,White,16
California,6,2002,15-24 years,Male,White,53
California,6,2002,25-34 years,Female,White,43
California,6,2002,25-34 years,Male,White,130
California,6,2002,35-44 years,Female,Black or African American,15
California,6,2002,35-44 years,Female,White,135
California,6,2002,35-44 years,Male,Black or African American,16
California,6,2002,35-44 years,Male,White,282
California,6,2002,45-54 years,Female,Black or African American,18
California,6,2002,45-54 years,Female,White,144
California,6,2002,45-54 years,Male,Black or African American,38
California,6,2002,45-54 years,Male,White,311
California,6,2002,55-64 years,Female,White,49
California,6,2002,55-64 years,Male,Black or African American,15
California,6,2002,55-64 years,Male,White,84
California,6,2002,65-74 years,Female,White,15
California,6,2002,65-74 years,Male,White,18
California,6,2003,15-24 years,Female,White,12
California,6,2003,15-24 years,Male,White,58
California,6,2003,25-34 years,Female,White,47
California,6,2003,25-34 years,Male,White,125
California,6,2003,35-44 years,Female,Black or African American,10
California,6,2003,35-44 years,Female,White,103
California,6,2003,35-44 years,Male,Black or African American,18
California,6,2003,35-44 years,Male,White,268
California,6,2003,45-54 years,Female,Black or African American,17
California,6,2003,45-54 years,Female,White,144
California,6,2003,45-54 years,Male,Black or African American,27
California,6,2003,45-54 years,Male,White,317
California,6,2003,55-64 years,Female,White,46
California,6,2003,55-64 years,Male,Black or African American,10
California,6,2003,55-64 years,Male,White,83
California,6,2003,65-74 years,Female,White,23
California,6,2003,65-74 years,Male,White,18
California,6,2004,15-24 years,Female,White,27
California,6,2004,15-24 years,Male,White,66
California,6,2004,25-34 years,Female,White,44
California,6,2004,25-34 years,Male,White,138
California,6,2004,35-44 years,Female,Black or African American,14
California,6,2004,35-44 years,Female,White,130
California,6,2004,35-44 years,Male,White,233
California,6,2004,45-54 years,Female,Black or African American,17
California,6,2004,45-54 years,Female,White,158
California,6,2004,45-54 years,Male,Black or African American,26
California,6,2004,45-54 years,Male,White,287
California,6,2004,55-64 years,Female,White,61
California,6,2004,55-64 years,Male,Black or African American,15
California,6,2004,55-64 years,Male,White,97
California,6,2004,65-74 years,Female,White,12
California,6,2004,65-74 years,Male,White,16
California,6,2005,15-24 years,Female,White,16
California,6,2005,15-24 years,Male,White,69
California,6,2005,25-34 years,Female,White,58
California,6,2005,25-34 years,Male,White,131
California,6,2005,35-44 years,Female,White,116
California,6,2005,35-44 years,Male,Black or African American,11
California,6,2005,35-44 years,Male,White,180
California,6,2005,45-54 years,Female,Black or African American,14
California,6,2005,45-54 years,Female,White,150
California,6,2005,45-54 years,Male,Black or African American,40
California,6,2005,45-54 years,Male,White,274
California,6,2005,55-64 years,Female,White,70
California,6,2005,55-64 years,Male,Black or African American,14
California,6,2005,55-64 years,Male,White,96
California,6,2005,65-74 years,Female,White,25
California,6,2005,65-74 years,Male,White,17
California,6,2005,75-84 years,Female,White,11
California,6,2006,15-24 years,Female,White,18
California,6,2006,15-24 years,Male,White,80
California,6,2006,25-34 years,Female,White,48
California,6,2006,25-34 years,Male,White,128
California,6,2006,35-44 years,Female,White,90
California,6,2006,35-44 years,Male,White,228
California,6,2006,45-54 years,Female,White,186
California,6,2006,45-54 years,Male,Black or African American,23
California,6,2006,45-54 years,Male,White,336
California,6,2006,55-64 years,Female,Black or African American,11
California,6,2006,55-64 years,Female,White,89
California,6,2006,55-64 years,Male,Black or African American,12
California,6,2006,55-64 years,Male,White,119
California,6,2006,65-74 years,Female,White,22
California,6,2006,65-74 years,Male,White,20
California,6,2006,75-84 years,Female,White,11
California,6,2007,15-24 years,Female,White,23
California,6,2007,15-24 years,Male,White,98
California,6,2007,25-34 years,Female,White,51
California,6,2007,25-34 years,Male,White,150
California,6,2007,35-44 years,Female,White,111
California,6,2007,35-44 years,Male,Black or African American,10
California,6,2007,35-44 years,Male,White,229
California,6,2007,45-54 years,Female,Black or African American,13
California,6,2007,45-54 years,Female,White,214
California,6,2007,45-54 years,Male,Black or African American,28
California,6,2007,45-54 years,Male,White,339
California,6,2007,55-64 years,Female,White,91
California,6,2007,55-64 years,Male,White,145
California,6,2007,65-74 years,Female,White,14
California,6,2007,65-74 years,Male,White,15
California,6,2007,75-84 years,Female,White,15
California,6,2008,15-24 years,Female,White,26
California,6,2008,15-24 years,Male,White,129
California,6,2008,25-34 years,Female,White,46
California,6,2008,25-34 years,Male,White,176
California,6,2008,35-44 years,Female,White,114
California,6,2008,35-44 years,Male,White,237
California,6,2008,45-54 years,Female,Black or African American,16
California,6,2008,45-54 years,Female,White,218
California,6,2008,45-54 years,Male,Black or African American,17
California,6,2008,45-54 years,Male,White,333
California,6,2008,55-64 years,Female,Black or African American,12
California,6,2008,55-64 years,Female,White,115
California,6,2008,55-64 years,Male,Black or African American,11
California,6,2008,55-64 years,Male,White,171
California,6,2008,65-74 years,Female,White,25
California,6,2008,65-74 years,Male,White,34
California,6,2009,15-24 years,Female,White,31
California,6,2009,15-24 years,Male,White,114
California,6,2009,25-34 years,Female,White,51
California,6,2009,25-34 years,Male,White,213
California,6,2009,35-44 years,Female,White,111
California,6,2009,35-44 years,Male,American Indian or Alaska Native,12
California,6,2009,35-44 years,Male,White,260
California,6,2009,45-54 years,Female,Black or African American,27
California,6,2009,45-54 years,Female,White,237
California,6,2009,45-54 years,Male,Black or African American,20
California,6,2009,45-54 years,Male,White,360
California,6,2009,55-64 years,Female,Black or African American,15
California,6,2009,55-64 years,Female,White,140
California,6,2009,55-64 years,Male,Black or African American,23
California,6,2009,55-64 years,Male,White,195
California,6,2009,65-74 years,Female,White,30
California,6,2009,65-74 years,Male,White,31
California,6,2009,75-84 years,Female,White,12
California,6,2010,15-24 years,Female,White,32
California,6,2010,15-24 years,Male,White,144
California,6,2010,25-34 years,Female,White,70
California,6,2010,25-34 years,Male,White,213
California,6,2010,35-44 years,Female,White,110
California,6,2010,35-44 years,Male,White,213
California,6,2010,45-54 years,Female,Black or African American,19
California,6,2010,45-54 years,Female,White,217
California,6,2010,45-54 years,Male,Black or African American,23
California,6,2010,45-54 years,Male,White,293
California,6,2010,55-64 years,Female,Black or African American,14
California,6,2010,55-64 years,Female,White,142
California,6,2010,55-64 years,Male,Black or African American,24
California,6,2010,55-64 years,Male,White,193
California,6,2010,65-74 years,Female,White,39
California,6,2010,65-74 years,Male,White,32
California,6,2010,75-84 years,Male,White,12
California,6,2011,15-24 years,Female,White,39
California,6,2011,15-24 years,Male,White,144
California,6,2011,25-34 years,Female,White,48
California,6,2011,25-34 years,Male,Asian or Pacific Islander,15
California,6,2011,25-34 years,Male,Black or African American,13
California,6,2011,25-34 years,Male,White,239
California,6,2011,35-44 years,Female,White,118
California,6,2011,35-44 years,Male,White,202
California,6,2011,45-54 years,Female,Black or African American,14
California,6,2011,45-54 years,Female,White,193
California,6,2011,45-54 years,Male,Black or African American,21
California,6,2011,45-54 years,Male,White,343
California,6,2011,55-64 years,Female,Black or African American,20
California,6,2011,55-64 years,Female,White,136
California,6,2011,55-64 years,Male,Black or African American,24
California,6,2011,55-64 years,Male,White,191
California,6,2011,65-74 years,Female,White,31
California,6,2011,65-74 years,Male,White,24
California,6,2012,15-24 years,Female,White,33
California,6,2012,15-24 years,Male,White,118
California,6,2012,25-34 years,Female,White,68
California,6,2012,25-34 years,Male,White,225
California,6,2012,35-44 years,Female,Black or African American,10
California,6,2012,35-44 years,Female,White,72
California,6,2012,35-44 years,Male,White,181
California,6,2012,45-54 years,Female,Black or African American,15
California,6,2012,45-54 years,Female,White,189
California,6,2012,45-54 years,Male,American Indian or Alaska Native,10
California,6,2012,45-54 years,Male,Black or African American,10
California,6,2012,45-54 years,Male,White,237
California,6,2012,55-64 years,Female,Black or African American,12
California,6,2012,55-64 years,Female,White,120
California,6,2012,55-64 years,Male,Black or African American,23
California,6,2012,55-64 years,Male,White,198
California,6,2012,65-74 years,Female,White,42
California,6,2012,65-74 years,Male,White,40
California,6,2012,75-84 years,Male,White,11
California,6,2013,15-24 years,Female,White,38
California,6,2013,15-24 years,Male,White,121
California,6,2013,25-34 years,Female,White,63
California,6,2013,25-34 years,Male,White,273
California,6,2013,35-44 years,Female,Black or African American,12
California,6,2013,35-44 years,Female,White,92
California,6,2013,35-44 years,Male,White,211
California,6,2013,45-54 years,Female,Black or African American,25
California,6,2013,45-54 years,Female,White,176
California,6,2013,45-54 years,Male,Black or African American,21
California,6,2013,45-54 years,Male,White,267
California,6,2013,55-64 years,Female,Black or African American,13
California,6,2013,55-64 years,Female,White,158
California,6,2013,55-64 years,Male,Black or African American,26
California,6,2013,55-64 years,Male,White,234
California,6,2013,65-74 years,Female,White,50
California,6,2013,65-74 years,Male,White,50
California,6,2014,15-24 years,Female,White,34
California,6,2014,15-24 years,Male,Asian or Pacific Islander,10
California,6,2014,15-24 years,Male,White,122
California,6,2014,25-34 years,Female,White,69
California,6,2014,25-34 years,Male,Black or African American,10
California,6,2014,25-34 years,Male,White,270
California,6,2014,35-44 years,Female,White,92
California,6,2014,35-44 years,Male,Asian or Pacific Islander,11
California,6,2014,35-44 years,Male,White,191
California,6,2014,45-54 years,Female,Black or African American,12
California,6,2014,45-54 years,Female,White,174
California,6,2014,45-54 years,Male,Black or African American,29
California,6,2014,45-54 years,Male,White,271
California,6,2014,55-64 years,Female,Black or African American,15
California,6,2014,55-64 years,Female,White,183
California,6,2014,55-64 years,Male,Black or African American,33
California,6,2014,55-64 years,Male,White,240
California,6,2014,65-74 years,Female,White,61
California,6,2014,65-74 years,Male,White,63
California,6,2014,75-84 years,Male,White,12
Colorado,8,1999,25-34 years,Male,White,19
Colorado,8,1999,35-44 years,Female,White,17
Colorado,8,1999,35-44 years,Male,White,43
Colorado,8,1999,45-54 years,Female,White,14
Colorado,8,1999,45-54 years,Male,White,26
Colorado,8,2000,25-34 years,Male,White,25
Colorado,8,2000,35-44 years,Female,White,20
Colorado,8,2000,35-44 years,Male,White,42
Colorado,8,2000,45-54 years,Female,White,15
Colorado,8,2000,45-54 years,Male,White,24
Colorado,8,2001,15-24 years,Male,White,13
Colorado,8,2001,25-34 years,Male,White,24
Colorado,8,2001,35-44 years,Female,White,16
Colorado,8,2001,35-44 years,Male,White,56
Colorado,8,2001,45-54 years,Female,White,17
Colorado,8,2001,45-54 years,Male,White,30
Colorado,8,2002,25-34 years,Male,White,24
Colorado,8,2002,35-44 years,Female,White,30
Colorado,8,2002,35-44 years,Male,White,40
Colorado,8,2002,45-54 years,Female,White,24
Colorado,8,2002,45-54 years,Male,White,37
Colorado,8,2003,15-24 years,Male,White,14
Colorado,8,2003,25-34 years,Female,White,14
Colorado,8,2003,25-34 years,Male,White,31
Colorado,8,2003,35-44 years,Female,White,22
Colorado,8,2003,35-44 years,Male,White,38
Colorado,8,2003,45-54 years,Female,White,14
Colorado,8,2003,45-54 years,Male,White,40
Colorado,8,2003,55-64 years,Male,White,15
Colorado,8,2004,15-24 years,Male,White,17
Colorado,8,2004,25-34 years,Male,White,20
Colorado,8,2004,35-44 years,Female,White,25
Colorado,8,2004,35-44 years,Male,White,43
Colorado,8,2004,45-54 years,Female,White,21
Colorado,8,2004,45-54 years,Male,White,44
Colorado,8,2004,55-64 years,Male,White,10
Colorado,8,2005,15-24 years,Male,White,22
